,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,popularity,release_date,length,artist
10,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),11,2u8Msh7gewUrmJ74K8HZNq,BOOMBAYAH - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:2u8Msh7gewUrmJ74K8HZNq,0.0228,0.611,0.906,0.0,0.594,-4.977,0.117,124.972,0.468,4,48,2020-05-14,243693,BLACKPINK
11,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME- (Live),12,1hPIpoUwxbXBp5fGMSDcXx,AS IF IT’S YOUR LAST - JP Ver./ BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA -TOKYO DOME-,spotify:track:1hPIpoUwxbXBp5fGMSDcXx,0.153,0.597,0.943,0.0,0.328,-3.971,0.137,125.044,0.586,4,47,2020-05-14,223573,BLACKPINK
14,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),3,6zlLFk0ZjBkA80p6xcZ8Ac,STAY (Remix Version) - Live,spotify:track:6zlLFk0ZjBkA80p6xcZ8Ac,0.276,0.564,0.776,0.0,0.332,-4.999,0.0457,87.952,0.456,4,43,2019-08-30,222961,BLACKPINK
18,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),7,3mGle2Kpzw3E6G0g0T79QN,Really (Reggae Version) - Live,spotify:track:3mGle2Kpzw3E6G0g0T79QN,0.132,0.635,0.908,0.0,0.435,-4.433,0.117,141.99,0.77,4,43,2019-08-30,210816,BLACKPINK
23,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),12,6w5egqwHmhrBJsw8soFcuU,WHISTLE (Remix Version) - Live,spotify:track:6w5egqwHmhrBJsw8soFcuU,0.14,0.681,0.923,0.0,0.409,-3.781,0.0935,112.952,0.532,4,42,2019-08-30,194341,BLACKPINK
24,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),13,1b7PAugOHr8ZjD1Dbj8fON,DDU DDU-DU (Remix Version) - Live,spotify:track:1b7PAugOHr8ZjD1Dbj8fON,0.0413,0.58,0.896,0.0,0.449,-3.411,0.131,139.973,0.379,4,44,2019-08-30,207169,BLACKPINK
26,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,1,69Bi7veKMrb2mRq00HkRyO,DDU-DU DDU-DU - Live,spotify:track:69Bi7veKMrb2mRq00HkRyO,0.0184,0.55,0.901,5.07e-06,0.368,-4.635,0.228,139.916,0.359,4,58,2019-08-30,210268,BLACKPINK
27,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2,2KbDqDFhB41oENnpdBLl2x,Forever Young - Live,spotify:track:2KbDqDFhB41oENnpdBLl2x,0.0675,0.501,0.929,0.0,0.476,-4.592,0.101,109.612,0.371,4,48,2019-08-30,257434,BLACKPINK
28,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,3,1ULCr3veBCQax14sdKx8Zz,STAY - Live - Remix,spotify:track:1ULCr3veBCQax14sdKx8Zz,0.276,0.564,0.776,0.0,0.332,-4.999,0.0457,87.952,0.456,4,46,2019-08-30,222961,BLACKPINK
29,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,4,4unZivWgVEuHSwS3yEzhca,WHISTLE - Live,spotify:track:4unZivWgVEuHSwS3yEzhca,0.0319,0.714,0.813,0.0,0.68,-5.183,0.0849,103.019,0.511,4,45,2019-08-30,218256,BLACKPINK
30,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,5,4PIPs68SEeyJbKvzYtZs1c,YOU & I + ONLY LOOK AT ME - Live,spotify:track:4PIPs68SEeyJbKvzYtZs1c,0.469,0.331,0.6,0.0,0.473,-6.17,0.051,139.78,0.208,4,49,2019-08-30,190991,BLACKPINK
31,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,6,76bx2vIjdLTLyYG1tUdjdM,SOLO - Live,spotify:track:76bx2vIjdLTLyYG1tUdjdM,0.0872,0.593,0.682,0.0,0.86,-6.755,0.287,95.218,0.239,4,48,2019-08-30,182867,BLACKPINK
32,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,7,4ODurxj27GoF8giSpGpFb4,Really - Live - Reggae,spotify:track:4ODurxj27GoF8giSpGpFb4,0.132,0.635,0.908,0.0,0.435,-4.433,0.117,141.99,0.77,4,46,2019-08-30,210816,BLACKPINK
33,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,8,6Reeb3rf94FjBZXXvX8oKH,See U Later - Live,spotify:track:6Reeb3rf94FjBZXXvX8oKH,0.00924,0.71,0.914,1.44e-05,0.358,-5.421,0.1,107.024,0.494,4,45,2019-08-30,303275,BLACKPINK
34,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,9,0qSKlbDqG0kl05xzmypfht,PLAYING WITH FIRE - Live,spotify:track:0qSKlbDqG0kl05xzmypfht,0.0476,0.607,0.77,0.0,0.69,-4.842,0.0463,97.083,0.462,4,45,2019-08-30,199033,BLACKPINK
35,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,10,6VYBZAx5gthgG13v5EmqF1,BOOMBAYAH - Live,spotify:track:6VYBZAx5gthgG13v5EmqF1,0.0786,0.613,0.863,0.0,0.342,-4.388,0.0826,124.922,0.409,4,45,2019-08-30,247735,BLACKPINK
36,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,11,6dQm3qZcTwbHETRI09g0lW,As If It's Your Last - Live,spotify:track:6dQm3qZcTwbHETRI09g0lW,0.19,0.643,0.918,0.0,0.592,-3.866,0.107,125.0,0.428,4,45,2019-08-30,224629,BLACKPINK
37,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,12,7tKRoZAgyJ3onTmtLTrHpR,WHISTLE - Live - Remix,spotify:track:7tKRoZAgyJ3onTmtLTrHpR,0.14,0.681,0.923,0.0,0.409,-3.781,0.0935,112.952,0.532,4,45,2019-08-30,194341,BLACKPINK
38,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,13,0U9QYwRpAx6zNaOzfqka3h,DDU-DU DDU-DU - Live - Remix,spotify:track:0U9QYwRpAx6zNaOzfqka3h,0.0413,0.58,0.896,0.0,0.449,-3.411,0.131,139.973,0.379,4,45,2019-08-30,207169,BLACKPINK
39,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,14,2m2FYNpmv0zTbrLJytR6N9,STAY - Live,spotify:track:2m2FYNpmv0zTbrLJytR6N9,0.594,0.342,0.39,0.0,0.966,-8.777,0.0477,175.027,0.489,4,44,2019-08-30,261940,BLACKPINK
40,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",1,6PDvHZDWtGSVr8LXN3stsH,"DDU-DU DDU-DU - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:6PDvHZDWtGSVr8LXN3stsH,0.0918,0.571,0.849,4.46e-06,0.936,-8.306,0.143,139.937,0.39,4,44,2019-03-13,227500,BLACKPINK
41,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2,32ssBfmhrG6qbEapVNwAOm,"FOREVER YOUNG - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:32ssBfmhrG6qbEapVNwAOm,0.0412,0.588,0.897,0.0,0.708,-6.947,0.0821,109.838,0.379,4,43,2019-03-13,235500,BLACKPINK
